HOSPITAL,,,Reviewer,"RATING CATEGORIES (Score 1-5, 1 = low/bad, 5 = high, outstanding)",,,,,,,,,,REVIEWS,,,
Hospital Name,Hospital City,Hospital State ,Reviewer's Name,Onboarding & Orientation,Culture & Friendliness Toward Travelers,Facility Location,Safety & Patient Ratios,Management & Leadership,Patient Acuity,Housing Options,Pay,Diversity & Inclusion,Would You Return?,Review Title,Review,Source Website,Date Posted 
Carilion New River Valley Medical Center,Christiansburg,VA,Anonymous,4.5,4.5,4,4.5,5,,,,,,Syndicated Review,St. Albans sets the standard in every aspect of psychiatric care for both patients and employees.,https://app.scrubstr.com/hospitals/carilion-new-river-valley-medical-center,"September 17, 2021"
Carilion Roanoke Community Hospital,Roanoke,VA,Anonymous,3,3,3,4,4,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/carilion-roanoke-community-hospital,"July 29, 2024"
Carilion Stonewall Jackson Hospital,Lexington,VA,Anonymous,5,4,4,5,5,,,,,,Med-Surg — Syndicated Review,"Such a great hospital to work at if you are a new traveler. This was my travel nurse assignment and I had a great experience! Night shift ratios were usually 4-6. It is a very small hospital. Cons: Lexington is a very small town with not too much to do. I also had some trouble finding housing. There was also some drama between staff and travel nurses (I didn’t have any issue though. Just don’t get involved in it and you’ll be fine!). Overall, I enjoyed my time there and loved most of my coworkers!",https://app.scrubstr.com/hospitals/carilion-stonewall-jackson-hospital,"January 3, 2024"
Carolina East Health System,New Bern,NC,Anonymous,4,4,3.5,5,2,,,,,,Emergency Room — Syndicated Review,"No techs, if there are techs they don’t perform patient care. Lots of cliques. Staff are not rotated. Favorite staff get “better” assignments. Never get cancelled. Management is toxic.",https://app.scrubstr.com/hospitals/carolina-east-health-system,"March 14, 2024"
Carolinas Medical Center,Charlotte,NC,Anonymous,3,3,4,4,3,,,,,,Intensive Care — Syndicated Review,I’ve worked here in medsurg and icu. Medsurg did not have safe ratios at all and management was terrible. In the icu management is a lot better and ratios are more appropriate more of the time. NSICU is incredibly catty but MICU and STICU are much better. Epic is a good versions definitely great level one patient experience.,https://app.scrubstr.com/hospitals/carolinas-medical-center,"December 6, 2022"
Caromont Regional Medical Center,Gastonia,NC,Anonymous,3.5,3,3,5,2.5,,,,,,Emergency Room — Syndicated Review,"AWFUL EXPERIENCE HERE. Only good thing about this place is that EVS cleans the rooms. Techs are useless, staff sits around and talks/laughs while travelers are running around drowning. The MD’s are rude and unapproachable. The staff is lazy. No wonder why almost every nurse there is a traveler. Those who are staff are baby nurses with 2 months of experience which is scary. Doctors ask you to put in entire order sets. No breaks. Stay away from this awful, poorly run hospital. The pay is not even worth it.",https://app.scrubstr.com/hospitals/caromont-regional-medical-center,"December 30, 2022"
Caromont Regional Medical Center,Gastonia,NC,Anonymous,3.5,3,3,5,2.5,,,,,,Emergency Room — Syndicated Review,"3:1 ratio in the ER when they are fully staffed. Travelers given the more crappy assignments. There were times the staff would have 3 patients and travelers were given 4. Staff is nice for the most part, however later on in the assignment found out a few of the new grad nurses were talking crap about the travelers-dumb, petty drama. You will definitely be working for your money here. No breaks, no transport, and no lab techs. The RN is responsible for the entire care of the patient. Techs are available but not too helpful.",https://app.scrubstr.com/hospitals/caromont-regional-medical-center,"December 5, 2022"
Caromont Regional Medical Center,Gastonia,NC,Anonymous,3.5,3,3,5,2.5,,,,,,Med-Surg — Syndicated Review,1:6 ratio on evenings. Once or twice they would try to give 7. Security can’t touch an agitated patient without an MD order so they are kind of useless.,https://app.scrubstr.com/hospitals/caromont-regional-medical-center,"May 5, 2021"
Caromont Regional Medical Center,Gastonia,NC,Anonymous,3.5,3,3,5,2.5,,,,,,Emergency Room — Syndicated Review,"Only worked at the Mt. Holly free standing location. The staff were great however, the unit manager was difficult and condescending. She refused to speak to me about scheduling issues. Also, showed up to work my scheduled shift and was told when I got there that I wasn't needed, to contact my agency. The manager refused to inform me of any issues and just continued to tell me to contact my agency and told me to clock out and leave ..... if it wasn't for her, I loved working here at this location !",https://app.scrubstr.com/hospitals/caromont-regional-medical-center,"May 26, 2021"
Caromont Regional Medical Center,Gastonia,NC,Anonymous,3.5,3,3,5,2.5,,,,,,Med-Surg — Syndicated Review,"1:6 MS ratio, not a ton of admissions at night. overall fine but by far one of the cheapest hospitals ever- reusable PPE gowns, no bath wipes only wash clothes, horrible IVs. epic charting but by far the worst version of it i've ever used and no secure chat. most charge nurses are also ANMs so there's a bit too much power tripping, for example you aren't allowed to sit at the nurses station to chart...",https://app.scrubstr.com/hospitals/caromont-regional-medical-center,"August 21, 2023"
Carondelet St Josephs Hospital,Tuscon,AZ,Anonymous,3.5,5,4.5,5,3.5,,,,,,Labor and Delivery — Syndicated Review,"Labor & Delivery Scrubs: Navy blue, hospital issued Charting: Cerner & Centricity Staff: Super traveler friendly and helpful! Ratio: Labor 1:1 or 1:2 if Antepartum – If you’re floated to Postpartum 1:3 150 delivery’s a month Shift: 7pm-7am 13 week contract through Fusion Medical Staffing Orientation: 2 days; one where you’re circulating. # of rooms: 18 combined labor & antepartum. 8 triage bays. 2 ORs. Pros: Great team work amongst staff & travelers. 1 OB doctor in house always or private OBs come in to manage their own patients & 1 anesthesia in house always. 1 to 2 OB techs, depending on need. Cons: Egotistical OBs who want their patient’s delivered by a certain time frame and will section them if they’re not, usually seen more on day shift rather than nights. 80/20 computer and paper charting, respectively. Vital signs NOT flowing over into the patients EMR, so you have to manually enter them. Also, can’t chart directly on the strip through Centricity.",https://app.scrubstr.com/hospitals/carondelet-st-josephs-hospital,"January 16, 2023"
Carondelet St Josephs Hospital,Tuscon,AZ,Anonymous,3.5,5,4.5,5,3.5,,,,,,Labor and Delivery — Syndicated Review,Egotistical female OB/GYNs who believe patients need to be delivered on their time. 1:1 ratios for active labor patients. Staff is super helpful and traveler friendly.,https://app.scrubstr.com/hospitals/carondelet-st-josephs-hospital,"December 30, 2022"
Carson Tahoe Regional Medical Center,Carson City,NV,Anonymous,4,5,4.45,-,-,,,,,,Emergency Room — Syndicated Review,Very traveler friendly! Very inviting and inclusive to all travelers. Brought in for an EMR conversion and had plenty of staff and PPE available. Staff were also fitted for PAPR’s.,https://app.scrubstr.com/hospitals/carson-tahoe-regional-medical-center,"May 31, 2022"
Carteret General Hospital,Morehead City,NC,Anonymous,4,4.5,3.5,3.5,2.5,,,,,,Emergency Room — Syndicated Review,"Staff was very traveler friendly. For such a small hospital, there were many travelers in the department. There were about 14+ hours of modules to do beforehand. Most physicians were condescending to nuraing staff. Hospital was very clean and seemed well-funded.",https://app.scrubstr.com/hospitals/carteret-general-hospital,"February 21, 2023"
Cartersville Medical Center,Cartersville,GA,Anonymous,4,5,4,4,1,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/cartersville-medical-center,"April 24, 2023"
Cascade Medical Center,Leavenworth,WA,Anonymous,5,5,5,5,5,,,,,,Med-Surg — Syndicated Review,Very traveler and agency friendly!,https://app.scrubstr.com/hospitals/cascade-medical-center,"December 4, 2022"
Cass County Memorial Hospital,Atlantic,IA,Anonymous,3,5,3,2,4,,,,,,Med-Surg — Syndicated Review,"LOVED this assignment for the first 4 months. In the last two, staffing was horrible with multiple patient falls with injuries as a result. Tried to force me to go from 1:4 to 1:7 with one of them being vented. When I refused, they threatened to fire me.",https://app.scrubstr.com/hospitals/cass-county-memorial-hospital,"May 19, 2023"
Cass Regional Medical Center,Harrisonville,MO,Anonymous,2,5,4,5,5,,,,,,Emergency Room — Syndicated Review,"This is an enjoyable facility to work at. Patients are happy and the building is new and pretty. HOWEVER, the ER is the highest level of patient acuity. They cannot keep many critical patients due to not having specialists (they get transferred out). I wouldn’t recommend for a true ICU experience. However, you’re not going to get over worked here.",https://app.scrubstr.com/hospitals/cass-regional-medical-center,"January 10, 2024"
Castle Medical Center,Kailua,HI,Anonymous,3,3.5,4.5,-,-,,,,,,Emergency Room — Syndicated Review,"Loved the staff here. The ED manager wouldn’t allow any changes in the schedule and no requested days off, other unit managers allowed these changes.",https://app.scrubstr.com/hospitals/castle-medical-center,"November 4, 2021"
Catawba Valley Medical Center,Hickory,NC,Anonymous,4,4,4,4,3,,,,,,Emergency Room — Syndicated Review,I would return for another contract. Lunch breaks every shift. 25 beds but under construction. Approx half ER staff are travelers.,https://app.scrubstr.com/hospitals/catawba-valley-medical-center,"January 16, 2023"
Cayuga Medical Center,Ithaca,NY,Anonymous,4,4.5,4.5,4,3,,,,,,Telemetry/Step-down — Syndicated Review,1-5/6 on any med surg tele. Staff is super nice and helpful,https://app.scrubstr.com/hospitals/cayuga-medical-center,"January 18, 2023"
Cayuga Medical Center,Ithaca,NY,Anonymous,4,4.5,4.5,4,3,,,,,,Surgical — Syndicated Review,The staff was super helpful and friendly. The food in the cafeteria was amazing. Scenery was stunning!! Though the computer system was very old it was a good experience!! Would highly recommend working here!!,https://app.scrubstr.com/hospitals/cayuga-medical-center,"February 18, 2021"
Cayuga Medical Center,Ithaca,NY,Anonymous,4,4.5,4.5,4,3,,,,,,Syndicated Review,"Because of meditech/partly paper charting in the PACU I witnessed several medication errors with permanent staff, so stay vigilant as a traveler. Anesthesia doctors can be pretentious (it’s an Ivy League town and they’re private practice so they’re held on a different standard). The PACU and pre procedure is busy. Some older ways of practice but typically I always had the orders and help that I needed. All staff expected to recover pediatrics, youngest was 2 years old. Pre procedure focuses heavily on ERAS so there’s _a lot_ of medications to give PO and IV.",https://app.scrubstr.com/hospitals/cayuga-medical-center,"July 30, 2024"
Cedar-sinai Marina Del Rey Hospital,Marina Del Rey,CA,Anonymous,5,4,5,5,5,,,,,,Emergency Room — Syndicated Review,"Lots of amazing coworkers, several went staff at this facility. As always, there are a few outliers but not bad enough to make the facility not worth it. 3 15-minute breaks and 1 30-minute lunch. Smaller non-trauma ER. Cafeteria is open until 10pm. -Night shifter",https://app.scrubstr.com/hospitals/cedar-sinai-marina-del-rey-hospital,"December 25, 2023"
Cedars Sinai Medical Center,Los Angeles,CA,Anonymous,3,2.5,4.5,4.5,2.5,,,,,,Syndicated Review,"Truly the worst place I’ve been. They have some of the worst bullies I’ve encountered in my career. They constantly talk about things being “the cedars way” but it’s really just an excuse to stay stuck in the past. If you put your head down and avoid the nasty nurses on your unit, you’ll be fine. They really need to work on their nursing culture though. I’d frequently find newer nurses crying and stressed while the charge nurses berated them for being slow and incompetent.",https://app.scrubstr.com/hospitals/cedars-sinai-medical-center,"February 12, 2023"
Cedars Sinai Medical Center,Los Angeles,CA,Anonymous,3,2.5,4.5,4.5,2.5,,,,,,Emergency Room — Syndicated Review,"Scrubs Caribbean Blue Ratios 1:4 at times 1:3 in high acuity pod when mid shift arrives. Team Leads in each area. 30 and a 45 minute break usually first break is 30minutes-2 hours after you clock in. Second break is usually 4-6 hours into the shift and then nothing after that. Busy ER. Usually taking boarder patients until 3pm and then getting all new ER patients at the same time if the waiting room is full and you have empty rooms you are getting them all at the same time most likely. CPs or their nurse assistants don’t have a lot of scope they can’t do straight caths, draw labs, irrigate wounds, or check blood sugars. Staff and other travelers are friendly everyone works as a team and helps each other. Normal outliers but otherwise it’s fine. Narrative charting. The system they have doesn’t allow for alot of click box charting. Also the surgical and inpatient teams are not easy to get a hold of when you have their patient in the ER for 12+ hours. Up side is that they have voalte phones so you can text or call MDs if they aren’t logged out and you can easily scan meds and chart pain assessment and vital signs on the phone they give you. Very customer service based facility they usually have 1 or 2 patient liaisons in the ER alone. Over all not a bad place to work.",https://app.scrubstr.com/hospitals/cedars-sinai-medical-center,"February 7, 2023"
Cedars Sinai Medical Center,Los Angeles,CA,Anonymous,3,2.5,4.5,4.5,2.5,,,,,,Syndicated Review,"This hospital is not traveler friendly. I’ve never worked at a hospital that had such an entitled nursing staff. Especially the Saprestein tower. For example, a staff nurse said a traveler was struggling with her job because she had to stay a little late to chart during day shift. Mind you this nurse had a patient that pressed the call bell every 15 minutes. The staff nurses are rude to the nursing assistants (clinical partners). I witnessed a resource nurse explaining something to a NA and ended it will “it’s simple” with a very passive aggressive tone. They also try to tell you how to do your job as if you are a new grad nurse. Received a lecture on the type of bed the patient should be on at 2000 during med pass and the patient arrived to the unit at change of shift. Sorry that’s not my priority at this moment. Travelers are automatically in the float pool. Which I guess would be fine, but the layout of this hospital is awful and confusing. I would not recommend working here, try UCLA instead.",https://app.scrubstr.com/hospitals/cedars-sinai-medical-center,"November 23, 2022"
Cedars Sinai Medical Center,Los Angeles,CA,Anonymous,3,2.5,4.5,4.5,2.5,,,,,,Intensive Care — Syndicated Review,"Listed as ICU float pool but you’re basically all levels. Many times I didn’t see an ICU for like three weeks. Staff seems resentful to travel nurses (charge especially for some reason) and you will ALWAYS have the worst assignment, violent and confused. They’ll give you multiple in one shift, too. I know there are worst assignments, but I wouldn’t do it again.",https://app.scrubstr.com/hospitals/cedars-sinai-medical-center,"August 31, 2022"
Cedars Sinai Medical Center,Los Angeles,CA,Anonymous,3,2.5,4.5,4.5,2.5,,,,,,Intensive Care — Syndicated Review,Floated to 25 different units in 10 weeks. Was told I was ICU float pool and I almost never worked in the icu. They pick favorites and will ‘master’ them In the ICU and leave the rest of the travelers stranded on the floors with 5 patients every day. Management not open to suggestions. Extremely disorganized. Placed on a different unit daily so There was no continuity of care which patients and families constantly complained about. Every floor has their own set of rules and policies so it’s a struggle every day to complete the most basic of tasks. Staff gets annoyed when travelers don’t automatically know their specific unit policies. Overall extremely frustrating and exhausting assignment. Haven’t met a single traveler who is extending.,https://app.scrubstr.com/hospitals/cedars-sinai-medical-center,"December 4, 2021"
Centennial Hills Hospital Medical Center,Las Vegas,NV,Anonymous,1,4,4,1,2,,,,,,Syndicated Review,Neurology/stroke unit is considered med surg. One RN with one LPN for team nursing for TEN patient assignment is normal. These are fresh stroke/NIH pt’s.,https://app.scrubstr.com/hospitals/centennial-hills-hospital-medical-center,"December 5, 2022"
Centinela Hospital Medical Center,Inglewood,CA,Anonymous,1.5,1.5,3.5,1,1,,,,,,Emergency Room — Syndicated Review,"Came here as a student and hired as a new grad, terrible staff. The whole unit up and quit a few months ago and they had to close a whole wing of the hospital. No one stays here, all new grads and travelers. The kitchen is understaffed and closed a lot now. Overall weird, chilling, self isolating experience.",https://app.scrubstr.com/hospitals/centinela-hospital-medical-center,"March 1, 2023"
Centinela Hospital Medical Center,Inglewood,CA,Anonymous,1.5,1.5,3.5,1,1,,,,,,Emergency Room — Syndicated Review,"ER director was very unwelcoming to the crisis nurses. He told the staff how much money the crisis nurses were making- trying to cause problems. The few staff were all new grads. There would be 3-4 staff nurses assigned to float as resource nurses in the ER (which meant they did they didn’t do much) while the crisis nurses would take 2 icu holds plus 2 ER beds. Equipment always broken, no bedside charting, no nurses station. WOWs in the hallways which didn’t all have a med scanner. No organization of supplies- not all kept in supply room. Staff tell you just to look in all of the rooms for supplies (52 bed ER). Area very unsafe. Would not recommend.",https://app.scrubstr.com/hospitals/centinela-hospital-medical-center,"April 25, 2021"
Centinela Hospital Medical Center,Inglewood,CA,Anonymous,1.5,1.5,3.5,1,1,,,,,,Med-Surg — Syndicated Review,"Old school Meditech from the 80’s or something. Charting takes forever here because of the outdated charting system. And don’t forget the lack of WOW’s that were fully functional. Good luck finding one with a working scanner, decent battery life, and could actually roll. It’s common for outlets not to work or to receive equipment with frayed cords from central supply. Some of the floors have been remodeled and are nicer and cleaner. And by that I mean acceptable not anything above and beyond just not to where you notice how dilapidated it is the entire time. The patient population is majority poor, homeless, and/or drug addicts. Restraint use was common. Staff was mostly nice but they hire 30 new graduates/month in all specialities. So don’t expect them to know their business. And hopefully this was just while I was there under a Covid crisis contract but when you call a Rapid you only got RT and an ICU nurse. Maybe charge would come out of the office for a few minutes too. I was told it’s nickname was “Centi-hella.” Accurate.",https://app.scrubstr.com/hospitals/centinela-hospital-medical-center,"March 28, 2021"
Centra Health Virginia Baptist Hospital,Lynchburg,VA,Anonymous,3,4,2,2,3,,,,,,Syndicated Review,Pulmonary step down during peak Covid 1:5 ratio with NO tech dayshift. Night shift would have as a many as 1:7 ratio. Entire group of pt would either be maxed on bipap or heated high flow NC.,https://app.scrubstr.com/hospitals/centra-health-virginia-baptist-hospital,"August 22, 2022"
Central Carolina Hospital,Sanford,NC,Anonymous,4.5,4,1.5,2.5,2.5,,,,,,Syndicated Review,"Hospital is very small and out dated. Medical equipment is ancient. Only operating one medsurg unit, ICU (and I use that term loosely), and an ER. At times there were only 2 nurses to run ER. ER is staffed with mostly paramedics. Med surg ratio 1:6 even on day shift. If you discharge a patient you literally have an admission before the other patient can leave. You may get 3 or 4 admissions if you discharge 3 or 4 patients. Admissions are not rotated. You may be pulled to ICU, ER, or monitor tech. Medsurg staff not ACLS certified. Was there a shift and a patient never not one time that shift saw a provider. Was told it would have to wait until tomorrow. Sometimes there’s only 1 CNA. Patients do not get bathed there. Management is very shady. Will literally call you every day your off to come in. Terrible. Providers were nice…most permanent staff also very nice and helpful.",https://app.scrubstr.com/hospitals/central-carolina-hospital,"December 9, 2022"
Central Carolina Hospital,Sanford,NC,Anonymous,4.5,4,1.5,2.5,2.5,,,,,,Med-Surg — Syndicated Review,"Central Carolina Hospital Sanford, NC *No Relation to Duke University Area: small rural, 45m from Raleigh, 45 min from Cape Fear RN scrubs color: Any EMR: Cerner Rx Dispense: Omnicell Pumps: Alaris Unit: MS/Telemetry, 40 bed unit Ratios: 4-6, 4 if you’re “primary” which means you’re on your own. No tech Patient population: everyone’s got DM2 and CKD. Lots are alcoholics and drug users. Small area so you’ll rotate around frequent fliers in your time here quickly. ED maintains ALL psych holds. Cons: Small, old hospital, poor staffing. Like so poor during my contract they shut down an entire FLOOR. As in if you stop on the 2nd floor in the elevator, it’s spooky, lights out. That floor is still closed and haven’t been able to reopen for two months now. Some archaic practices and equipment. There’s ONE ekg machine in the whole facility, so if you’ve got chest pain? You have to call RAPID RESPONSE and the one RT must run to get the EKG machine from the ED To you. All EKG orders goto RT. Techs quit left and right so you’re lucky if there’s more than one for the whole unit. Charge is always in staffing and not a real charge. Your House Supervisor is pretty much your charge nurse. The House Supervisor and Nursing Director make the assignments for each shift. Staffing is wild, you may float to ED? ICU? Sit as a Telemetry Tech? Acuity is low here because the hospital capabilities are bare bones minimum. The problem is some patients get sicker and fall through the VERY LARGE CRACKS. By the time someone noticed, they may get transferred to ICU,…transferred out….or expire. Also the ICU is practically step down. Oh and ICU holds Med level pts as overflow. You have one hospitalist running the show at night. Pray you don’t need them. Goto words of night MD “it’s a day shift problem”. Also the director is shady. Management overall is shady. Watch yourself. This is where you’ll lose that hard earned license. They do whatever just go get by here. Joint Commission and the State showed up about six times during my contract. Pros: Traveler friendly for the most part. Some really hard working staff here that have no other choice but to stay. If things were not so dangerous and shady here I would come back for the people I worked with. You do have a few that are rough and have toxic personal traits that clearly need therapy. Because this is low acuity hospital,… some of these nurses just don’t know because they just don’t see much. If you’re experienced from high acuity, large hospitals; be prepared to work and be frustrated. Overall, I wouldn’t come back for the risk of my license.",https://app.scrubstr.com/hospitals/central-carolina-hospital,"November 25, 2022"
Central Carolina Hospital,Sanford,NC,Anonymous,4.5,4,1.5,2.5,2.5,,,,,,Emergency Room — Syndicated Review,"This was definitely not my worst travel assignment. I appreciated the community feel of this ER and that the providers were easygoing for the most part. You have at most 4-5 patients- one is strictly psych which can be good and bad depending on how you look at it. Their psych area is a small corner with 3 beds with no doors, which is not protected. This can be a liability for many reasons and yes, safety is a HUGE concern because we get busy and the PCAs are not the most attentive to psych patients' needs. The area is poorer and sadly the health literacy is not there, but a great opportunity to teach and educate. I enjoyed working with the staff for the most part. I have seen preferential treatment of their staff (they are mainly triage or float) but this is to be expected as travelers. Overall, culture is ok having had worse experiences elsewhere. I will say that management is working hard to clean the hospital from its ""bad reputation"". It is known to be unsafe, unclean and ineffective. I will say that yes, at times it can feel that way (things move slow, cerner is the worst charting system, staff gets flustered during codes) but overall, you are not alone if you need help. You may have to ask a few times but the medics and other nurses are usually helpful. Holds were thankfully not a major problem as pts got moved upstairs to med-surg or ICU quick. Transfers, though, can take time and as a community hospital, there is only so much they can do. Little annoyances- AC going out, computer being ineffective, staff nurses being lazy when you're busy- were just a few. The community of Sanford has little to do. I would not plan to have a night out often or expect the greatest food, as its mainly fast food and conveniences stores out here. Overall, not the worst and not the best.",https://app.scrubstr.com/hospitals/central-carolina-hospital,"July 12, 2024"
Central Dupage Hospital,Winfield,IL,Anonymous,3,3.5,3,-,-,,,,,,Syndicated Review,"I got one whole day of orientation- this was a day shadowing a nurse. I did not receive any first day instructions, so I didn’t really know what to do. I just showed up. They want you to park at a church about 10-15 minutes away and get shuttled in. The immediate area really has nothing around it to do. Staff is nice and helpful when asked, but no one goes out of there way to check on you or ask if you want a break. Really helpful techs. They have their own scrubs that you can’t purchase in stores, ceil blue is the closest, but I also wore navy and royal blues and no one ever said anything. I never had an interview, so I never received information on patient ratios. I wasn’t given an opportunity to have any input in my schedule. The area is safe, the hospital itself looks new and beautiful. Never went to the cafeteria, but I know there’s a Starbucks in the hospital somewhere. Once I got my badge, it worked for everything. I never completed all of my modules because I wouldn’t get paid to complete them outside of work, and I’m not working for free. I was part of the resource team, so I floated all over the place. Only met my manager once, on my first day for 5 minutes. She seemed nice. All in all, I would go back again. It is a very nice facility with good staffing and decent ratios. You’ll be busy, but I never had more than 5 patients at a time.",https://app.scrubstr.com/hospitals/central-dupage-hospital,"February 8, 2021"
Central Maine Medical Center,Lewiston,ME,Anonymous,3.5,4,3.5,2.5,4,,,,,,Telemetry/Step-down — Syndicated Review,"Facility was decent, still used double rooms throughout most of the hospital except in ICUs. Ratios were good 1:3 or 1:4 for Covid, 1:5 for regular pts. Suuuper short staffed but that’s a problem statewide. Staff was BEYOND helpful and were super friendly and made you feel welcomed as a traveler. Assignments were also fair as a traveler.",https://app.scrubstr.com/hospitals/central-maine-medical-center,"January 4, 2023"
Central Maine Medical Center,Lewiston,ME,Anonymous,3.5,4,3.5,2.5,4,,,,,,Med-Surg — Syndicated Review,"Hospital on the older side. Core staff nurses are very friendly and helpful towards travelers. They will float you, and have floated MedSurg to ICU to take “MedSurg” like assignments. They’re always short with their CNA staffing, so a lot of times you are primary Nursing but patient ratio assignment is up to 1 to 5 and is doable. Doctors here aren’t very proactive and it is a constant battle to get orders for patients (speaking for the night shift). Nothing to do in the area entertainment wise and would suggest not to stay in Lewiston for housing. Try Auburn or Portland which is about a 45 min drive with tolls. The area of Lewiston is a little sketch but assignment is a decent one. I would come back and recommend.",https://app.scrubstr.com/hospitals/central-maine-medical-center,"April 13, 2022"
Central Vermont Medical Center,Berlin,VT,Anonymous,5,5,5,5,5,,,,,,Med-Surg — Syndicated Review,"can't say enough about this place. everyone was so friendly and eager to help. a gem of a hospital. housing is extremely difficult, and it's a rural area so not a big nightlife. lots to do outdoors, FRIGID in winter.",https://app.scrubstr.com/hospitals/central-vermont-medical-center,"December 4, 2022"
Centra Lynchburg General Hospital,Lynchburg,VA,Anonymous,3.5,3.5,3.5,4,3,,,,,,Med-Surg — Syndicated Review,"I've been a nurse for 5 years traveling for 2 years. This hospital had no reviews so I am taking it upon myself to leave one because it was awful. This is my first contact I had to cut short. I worked medsurg on 3east it's a surgical floor but they do get a bit of everything. Techs never did there job leaving me to clean people by myself if I could (or I would ask a fellow traveler for help because they could not be found) and get my own vital signs. They have weird order stating they only want vital signs ""once a shift."" The techs take adv of this and count the 5am vitals as the one for dayshift. They give you major attitude when you ask them to get vitals at 730am before med pass. They argue with you about it so I eneded up doing it myself. I have never seen them do post surgical vitals and its a surgical floor. Other staff nurses only offer help when they feel it's needed. Then gaslight you for asking for help. The night shift pulls meds for dayshift and they expect you to do the same for nightshift. I did not feel comfortable doing this so I did not participate in that. They pull everything except controlled substances. Acuity is NOT taken into account. Assignments change all the time especially of someone is leaving at 3pm (which is a frequent occurrence) you will pick up a patient at 3pm. Another example would be if someone calls out at the last min and the charge nurse is free, instead of the charge nurse taking a group she decided to redo the assignment so everyone had 6patients and she was free to sit and do nothing. Charge nurse is free for dayshift (never on nightshift) but it depends on who it is and if they will help you or just sit there and be annoyed when you ask for help. And when I say ask for help I mean little things like paging a doctor so you can stay with your possibly crashing patient. The doctors are hit or miss. Since it's a surgical floor the surgeons are always there but if it's a hospitalist or specialist patient that return page could take from 15mins to an hour or you just won't get a response. Other than that the area was nice with lots of outside activities to do. However in winter there may be nothing to do and it's a relatively small town.",https://app.scrubstr.com/hospitals/centra-lynchburg-general-hospital,"December 3, 2022"
Centrastate Medical Center,Freehold,NJ,Anonymous,4,3.5,3.5,3,4,,,,,,Syndicated Review,-,https://app.scrubstr.com/hospitals/centrastate-medical-center,"January 10, 2023"
Centura Health-littleton Adventist Hospital,Littleton,CO,Anonymous,5,4,5,5,5,,,,,,Labor and Delivery — Syndicated Review,"The staff and flow of the unit was perfect. I wanted to stay and get hired on but HR is painfully slow. The manager didn't have my back, and left me feeling challenged instead of supported. I wanted to get hired and switch to postpartum. The rest of the unit is great with an easy work flow and access to the things you need.",https://app.scrubstr.com/hospitals/centura-health-littleton-adventist-hospital,"January 4, 2023"
Centura Health-penrose St Francis Health Services,Colorado Springs,CO,Anonymous,3,3.5,3.5,-,-,,,,,,Intensive Care — Syndicated Review,"You'll be put in COVID land most of the time. Usual Pt ratios are 3:1. Always short of equipments to perform job. RN goes with Pt for procedures. Friendly staff but many are leaving to travel. When they tell you it's self scheduling, they meant for their staff. Travelers are plugged where they are needed and that's mostly weekends. Expect to work every weekend. Lots of chartings. Q2hr pain assessments, Staff needs to sign off on stroke assessments, and other worthless q shift chartings.",https://app.scrubstr.com/hospitals/centura-health-penrose-st-francis-health-services,"December 4, 2021"
Chambersburg Hospital,Chambersburg,PA,Anonymous,5,5,5,3,5,,,,,,Intensive Care — Syndicated Review,"Signed contract to be an ICU traveler. The hospital itself is a bit dated. Equipment is mediocre. The IV pumps are super basic. I was floated 90% of the time it was on the unit and had a pod of 5 med/surg patients. Usually never got true CCU pts. Floating includes, ED holds. A sketchy area called overflow which was the old CCU. In that area it’s just you and another nurse for 4-5 pts at a time. Floated to the other medsurg/tele floors which are staffed 80% of other travelers. Super helpful on other floors. The staff is very helpful and ask if you’re doing ok at least once an hour. Overall Wellspan is run ok… just outdated. They are super desperate for staff so it’s a disappointment that the rate is low.",https://app.scrubstr.com/hospitals/chambersburg-hospital,"August 17, 2022"
Charlston Area Medical Center,Charleston,WV,Anonymous,4,5,4,5,3,,,,,,Telemetry/Step-down — Syndicated Review,"Great ratios. Meds are terrible. Pharmacy pulls most and send up in bags, you have to look in 4 places for meds. 3S in General is very micromanaged. Everything has to be very specifically done how MANAGERS wants. For example report m, white boards, where to place wedges for repositioning. Staff are wonderful. Ratios are great. Meds was the dealbreaker for me.",https://app.scrubstr.com/hospitals/charlston-area-medical-center,"June 22, 2024"
"Chatham Hospital, Inc.",Siler City,NC,Anonymous,5,5,5,4,5,,,,,,Emergency Room — Syndicated Review,"10 Bed ED. Critical access hospital. Ratio 5:1 can be anywhere from all patients are acute to critical need to be transferred or are being boarded. Doctors are wonderful, staff is friendly and work as a team. Little resources like having anesthesia available for critical patients who need central lines. Doctors in ED do not put in central or art lines. RN cannot put on US IVs only doctors can and they rarely ever want to do it. You end up sticking a critical patients multiple times with no luck. Parking is great, food is not great cafe closes at 1:30pm",https://app.scrubstr.com/hospitals/chatham-hospital-inc,"December 4, 2022"
Cherokee Medical Center,Gaffney,SC,Anonymous,5,5,3,5,4,,,,,,Emergency Room — Syndicated Review,"Working in the ED there is cake. 1:4 ratio always. There was no orientation, but the staff was so helpful and friendly I didn’t even mind. One of the best contracts I’ve had. Coworkers are all amazing. Mostly well staffed unit in the ED. It is a SMALL hospital with about a total of 21 inpatient beds and 12 ED beds. Everyone gets transferred usually. One of my favorites!",https://app.scrubstr.com/hospitals/cherokee-medical-center,"May 9, 2023"
